Player,APM,Appearances,RAPM,year
Darren Collison,0.4976523337903348,9190,-0.2081584954834082,2014
Ryan Hollins,1.783225943997668,1972,0.4938731459978103,2014
Luc Mbah a Moute,-2.819169063721414,3910,-1.380872870155003,2014
Matt Barnes,3.055676831373824,8637,1.5624162961456438,2014
Willie Green,0.31718072052021,3551,-0.0046222768369713,2014
Alexey Shved,-0.6167208668750779,2625,0.0493858422875667,2014
Antawn Jamison,6.211108022201434,984,0.9784426813700992,2014
JJ Redick,3.416712148285064,5389,1.3853165607534548,2014
Ben McLemore,-2.0363078629366487,8621,-1.6586001306688785,2014
Derrick Williams,-2.5005777780166016,7181,-1.18924961750293,2014
Greivis Vasquez,6.197908850090596,7339,2.114925449351158,2014
Jason Thompson,0.8668013483418691,7859,1.0399257027889206,2014
DeMarcus Cousins,0.6082402673102422,8970,0.7334314317202346,2014
John Salmons,-4.4037893487534685,6854,-1.8634301167816416,2014
Isaiah Thomas,8.495376049439631,9889,2.2376596880552286,2014
Patrick Patterson,3.0001609854619504,6631,1.7565438173385417,2014
Hamady Ndiaye,-10.629068259033431,296,-0.5269964227730987,2014
Reggie Bullock,-3.18223180584361,1629,-0.90349200695519,2014
Travis Outlaw,-1.1328883559302116,4213,-0.4777579760070694,2014
Tyson Chandler,1.5155950365845865,6191,0.6038628405863335,2014
Iman Shumpert,6.5685844632381,7321,2.85345782046384,2014
Beno Udrih,-1.982126929850314,2854,-0.9154039458584484,2014
JR Smith,3.615770198239195,9062,0.7605262797301782,2014
Carmelo Anthony,4.776936403384588,11138,1.338880774943239,2014
Giannis Antetokounmpo,4.0887586679300005,7250,1.09188639805151,2014
Khris Middleton,2.475155521607344,9370,-0.0022825892191078,2014
John Henson,-4.759253423156207,7025,-2.5423503729920247,2014
Brandon Knight,0.5932063886167576,9148,-0.9138549915910388,2014
Ersan Ilyasova,-2.4314654895310746,5626,-0.8770940647924238,2014
Nate Wolters,4.62007538776667,5027,1.5472448597409976,2014
Andrea Bargnani,-6.5140372977923935,4686,-2.4001341203710806,2014
Tim Hardaway Jr.,-3.806827685837294,7165,-2.291844321508917,2014
Ekpe Udoh,-1.37484392097386,3020,-0.4942163588839059,2014
Toure' Murry,5.539116046613283,1482,0.6869703650851278,2014
Metta World Peace,2.811295468543249,1523,0.4756982355231797,2014
Zaza Pachulia,-0.224802810895902,5052,-0.2150478330278457,2014
O.J. Mayo,-1.442403567919864,5122,-1.9611079879039448,2014
Jeffery Taylor,-6.183839126128921,2466,-1.8620680162088852,2014
Kemba Walker,6.9406443854687545,10469,2.3466937243415225,2014
Ramon Sessions,0.3673606309598869,8559,-0.4276783128249423,2014
Ben Gordon,3.050802869294837,1076,0.2978796477733388,2014
Miroslav Raduljica,-2.429627163011052,1794,-0.3868556862568326,2014
James Southerland,0.1461204008919804,117,0.0946375471744479,2014
Jeff Adrien,-1.0287011186584671,3744,-0.0932482170931957,2014
Alec Burks,1.7752931024331853,8401,0.2114432845771503,2014
Jeremy Evans,-0.0014418996133097,4563,-0.3989103445731313,2014
Derrick Favors,0.0568816148937631,8359,-0.4487726213527325,2014
Gordon Hayward,2.894072661871942,10663,0.0767928768418017,2014
Trey Burke,1.13934525985713,8578,0.5518697750102859,2014
Malcolm Thomas,0.9360870728355768,231,-0.0207034268612941,2014
Richard Jefferson,-0.3121785772443445,8356,-1.1995403866128471,2014
Ronny Turiaf,0.656047309017633,2398,-0.3302239836701947,2014
Diante Garrett,0.7069185061130627,3971,0.1285394043080535,2014
Rudy Gobert,-1.0479515068029248,1693,-0.0391722413359292,2014
Ian Clark,2.0663002946288045,664,0.3379308681429544,2014
Anthony Tolliver,2.781482753240043,5133,1.2298962545382937,2014
Jason Collins,-3.583052413786573,678,-0.6633532437972356,2014
Kevin Garnett,-2.4874185935203634,5036,-0.8162580850235946,2014
Brook Lopez,-2.425155487107644,1999,-0.8030559787778587,2014
Trevor Ariza,3.025212829129841,12011,1.0174791812823694,2014
Al Harrington,-0.0948120999267803,2217,-0.0049635611443401,2014
Andrei Kirilenko,0.2730094131715713,3792,-0.3058566094451911,2014
Jason Terry,-0.8344715639536405,2194,-0.9157625556596471,2014
Reggie Evans,-3.2170156219874526,3456,-1.2268879851447756,2014
Eric Maynor,-7.971281791057021,1270,-2.68127941807555,2014
Pablo Prigioni,-0.0126104103950891,4757,0.2844098906139185,2014
Raymond Felton,-1.7460778383647986,7548,-0.216494753224374,2014
Nikola Vucevic,2.2496882675137773,7009,0.5962005337530376,2014
Jameer Nelson,2.3014831366899893,8384,-0.0306352228078995,2014
Victor Oladipo,1.7291840518413455,9606,-0.0371913773001622,2014
Tobias Harris,-1.3676296283257354,7061,-0.8035039137821227,2014
Arron Afflalo,-0.0451816501881459,9839,-0.9410910841805712,2014
Amar'e Stoudemire,-3.8039909663446463,5445,-1.981295874056081,2014
Kyle O'Quinn,2.973998611943127,4683,1.1481888571784262,2014
E'Twaun Moore,0.6619881676360836,5896,-0.1626631648783544,2014
Jeremy Tyler,-2.8403125737228665,1540,-0.6991908346016875,2014
Andrew Nicholson,-3.832774437238888,4527,-1.519297327422529,2014
Maurice Harkless,-2.408599196805884,7571,-1.5514585213597358,2014
Doron Lamb,1.9175947382271683,2671,0.4106852765497957,2014
David West,5.781479845635788,11989,1.9151731585679856,2014
Lance Stephenson,0.8268644485630419,13139,0.7062240236530136,2014
George Hill,-0.2161032905822192,11769,0.8282852532372684,2014
Roy Hibbert,0.5309219472469886,11072,0.3239334884295168,2014
Paul George,3.0798697674921325,13985,1.596312855805743,2014
Aaron Gray,-4.813635518274547,1367,-1.114039999477363,2014
Luis Scola,1.0875788732499494,6323,-1.1085101623518692,2014
Danny Granger,2.5537226439158123,3882,1.03814790300939,2014
C.J. Watson,-0.4623951105098893,5980,0.5105277890208505,2014
Quincy Acy,-2.195818140847108,3330,-1.0342624773213742,2014
Ian Mahinmi,-0.4352994248214286,5726,-0.7526072505894884,2014
Jimmer Fredette,3.72952983398393,2006,-0.0912496437228111,2014
Carl Landry,-4.283138209681554,913,-0.8490667218936339,2014
Trevor Booker,-3.35339182836977,6441,-1.6679941655196904,2014
Jonas Valanciunas,-1.3777379642861811,9350,-0.5419547110608204,2014
DeMar DeRozan,1.1618595468685144,12312,0.7057953373968722,2014
Amir Johnson,1.5724921678260693,8994,0.8001899543677844,2014
Kyle Lowry,5.8260134405553865,11957,2.050236991995748,2014
Terrence Ross,-0.1983510813014973,8892,-0.3128800198356687,2014
Chris Singleton,-5.971056314005756,936,-1.2986795602116583,2014
Andre Miller,2.4802176913165592,4128,0.8460345051552286,2014
Steve Novak,3.431313009841286,2128,0.6053191679436883,2014
Tyler Hansbrough,-1.6405876637287184,3896,-0.8645914269689121,2014
Landry Fields,0.6822343203558315,1344,-0.1360203343301723,2014
Glen Davis,0.3273694428124113,6978,-0.1707884067730662,2014
Hedo Turkoglu,0.4120860541738504,1701,-0.1184674287816974,2014
Hilton Armstrong,2.542631072692888,468,0.0173317257018168,2014
Ognjen Kuzmic,-13.120827780764849,424,-1.4706389882091386,2014
Robin Lopez,-0.0812178467557976,11597,0.5706766988896532,2014
Wesley Matthews,1.400035009202422,12539,0.6410648613909606,2014
Nicolas Batum,0.6966740796937018,13401,0.5614997321001601,2014
Damian Lillard,3.343304312553182,13355,1.3696904385004225,2014
LaMarcus Aldridge,5.531385801047603,11462,2.5040857694434484,2014
Thomas Robinson,-1.3885654489234451,3941,-0.830777635018329,2014
Mo Williams,1.0062322509036867,7966,-0.3399243773500534,2014
Troy Daniels,6.772275143032323,516,0.6518026097243841,2014
Dorell Wright,0.8445118672790506,4256,-0.2221797964665585,2014
Joel Freeland,-0.6409432545075094,2976,0.1608481832152584,2014
Marc Gasol,0.6493273248995203,8335,-0.3838329452816287,2014
Courtney Lee,1.958690011807919,8180,0.613559549948292,2014
Caron Butler,-4.051424342035789,7151,-2.444738747883856,2014
Pero Antic,6.695852448178866,4265,1.8519053261679317,2014
Cartier Martin,-0.2481529476874839,3512,-0.6616278489901602,2014
Chris Wright,-1.6070684054178292,505,-0.3446294639493629,2014
Mike Muscala,-2.1911621585973298,885,-1.4901420603807345,2014
LeBron James,4.64317705443785,13764,2.311756336994188,2014
Mario Chalmers,2.268673713083233,10216,0.858705991606483,2014
Dwyane Wade,-0.5525634030832296,9370,-0.6369636778636498,2014
Chris Bosh,4.538005374417422,11992,2.559798963044114,2014
Udonis Haslem,-8.350970286799573,3051,-3.330168164328709,2014
Norris Cole,1.8674249073933675,8960,0.259590451568405,2014
Ray Allen,0.6430399706289045,9087,-0.0022149995977642,2014
Rashard Lewis,1.070690045752547,4800,0.684904185071046,2014
Chris Andersen,1.7307110591446906,6331,1.6339521134218358,2014
Toney Douglas,1.256539058766048,2698,-0.5473476285691397,2014
Rajon Rondo,-1.6758748584615106,3881,-1.6345479271881018,2014
Joel Anthony,-4.925201701758988,739,-0.6835999209188642,2014
Peyton Siva,-3.7327395845599,826,-0.5239925045260879,2014
Evan Turner,-0.4966481206961289,10486,-0.7702583424745943,2014
Donald Sloan,-6.18029562946744,1556,-1.631924836769162,2014
Rasual Butler,-2.605763556727711,1706,-1.1050267141535757,2014
Lavoy Allen,-0.1681745402821771,4479,-0.7909110696824037,2014
Chris Copeland,4.9812820735403145,1345,0.5487433938141411,2014
Spencer Hawes,0.4721656577682332,9926,-0.5034579270357344,2014
Michael Carter-Williams,3.925074137635341,9897,0.943474101921969,2014
Henry Sims,0.5140810025697556,3494,-0.4468727066063986,2014
Hollis Thompson,-1.4878866313733468,7120,-0.9272864280444688,2014
Thaddeus Young,-0.0032154701417987,11135,-1.1774752991601216,2014
James Anderson,-2.5523455028542323,9477,-1.7575991699558635,2014
Jarvis Varnado,1.0403041225315015,1393,-0.129273412872177,2014
Tony Wroten,1.0116266936748215,7302,-0.8978886359838496,2014
Elliot Williams,-5.241242596168286,4816,-2.75492965532166,2014
Casper Ware,2.624430191327697,479,0.366012659830783,2014
Brandon Davies,3.9514024287209217,2335,1.1148902076629512,2014
Drew Gooden,-0.0914522059002432,1992,0.0160607021887246,2014
Will Barton,0.0365816134259524,1881,-0.4158113919826043,2014
