Group,APM,Appearances,year
"('Andrew Bogut', 'Draymond Green', 'Harrison Barnes', 'Klay Thompson', 'Stephen Curry')",18.86016205410208,4311,2015
"('Andre Iguodala', 'Andrew Bogut', 'Draymond Green', 'Klay Thompson', 'Stephen Curry')",13.652664305431603,1006,2015
"('Draymond Green', 'Harrison Barnes', 'Klay Thompson', 'Marreese Speights', 'Stephen Curry')",19.50175049367862,875,2015
"('Andre Iguodala', 'Draymond Green', 'Harrison Barnes', 'Klay Thompson', 'Stephen Curry')",23.353431769074955,854,2015
"('Bradley Beal', 'John Wall', 'Marcin Gortat', 'Nene', 'Paul Pierce')",10.98049882083604,2657,2015
"('Andre Drummond', 'Brandon Jennings', 'Greg Monroe', 'Kentavious Caldwell-Pope', 'Kyle Singler')",11.87732311969036,1007,2015
"('Blake Griffin', 'Chris Paul', 'DeAndre Jordan', 'JJ Redick', 'Matt Barnes')",15.808178844470891,5700,2015
"('Blake Griffin', 'Chris Paul', 'DeAndre Jordan', 'JJ Redick', 'Jamal Crawford')",9.249072357983776,1213,2015
"('Amir Johnson', 'DeMar DeRozan', 'Jonas Valanciunas', 'Kyle Lowry', 'Terrence Ross')",7.461689031425857,1670,2015
"('Carlos Boozer', 'Jeremy Lin', 'Jordan Hill', 'Kobe Bryant', 'Wesley Johnson')",1.5358480779445038,1367,2015
"('Alec Burks', 'Derrick Favors', 'Enes Freedom', 'Gordon Hayward', 'Trey Burke')",9.004179482948496,1222,2015
"('Avery Bradley', 'Brandon Bass', 'Evan Turner', 'Marcus Smart', 'Tyler Zeller')",2.253600330326876,1368,2015
"('CJ Miles', 'David West', 'George Hill', 'Roy Hibbert', 'Solomon Hill')",10.35945201245175,1444,2015
"('Courtney Lee', 'Jeff Green', 'Marc Gasol', 'Mike Conley', 'Zach Randolph')",9.787360150892498,1867,2015
"('Courtney Lee', 'Marc Gasol', 'Mike Conley', 'Tony Allen', 'Zach Randolph')",11.338990429637292,2073,2015
