year,team,player_1,player_2,player_3,player_4,player_5,PM_minus_RAPM,Appearances
2015,Portland Trail Blazers,LaMarcus Aldridge,Arron Afflalo,Robin Lopez,Nicolas Batum,Damian Lillard,-13.351187795737847,1380
2015,Washington Wizards,Paul Pierce,Nene,Marcin Gortat,Garrett Temple,John Wall,2.3534597681962612,938
2016,Orlando Magic,Nikola Vucevic,Evan Fournier,Victor Oladipo,Elfrid Payton,Aaron Gordon,-7.238308616122222,919
2016,Boston Celtics,Amir Johnson,Avery Bradley,Isaiah Thomas,Jared Sullinger,Jae Crowder,-9.139145021857923,2922
2016,Minnesota Timberwolves,Tayshaun Prince,Ricky Rubio,Gorgui Dieng,Andrew Wiggins,Karl-Anthony Towns,-9.546197839454347,1014
2016,Minnesota Timberwolves,Ricky Rubio,Gorgui Dieng,Zach LaVine,Andrew Wiggins,Karl-Anthony Towns,-2.2214827133095016,2618
2016,Cleveland Cavaliers,LeBron James,JR Smith,Kevin Love,Kyrie Irving,Tristan Thompson,-4.876401658197819,3157
2016,Cleveland Cavaliers,LeBron James,JR Smith,Kevin Love,Timofey Mozgov,Kyrie Irving,-19.846790574348937,1015
2016,Oklahoma City Thunder,Kevin Durant,Russell Westbrook,Serge Ibaka,Andre Roberson,Steven Adams,-2.143421322224242,4337
2016,Oklahoma City Thunder,Kevin Durant,Russell Westbrook,Serge Ibaka,Dion Waiters,Steven Adams,-3.6928101558176873,1791
2016,Chicago Bulls,Pau Gasol,Derrick Rose,Nikola Mirotic,Jimmy Butler,Tony Snell,-8.53455575965238,803
2016,Utah Jazz,Derrick Favors,Gordon Hayward,Rudy Gobert,Raul Neto,Rodney Hood,-0.5219115152073908,1143
2016,Golden State Warriors,Andrew Bogut,Stephen Curry,Klay Thompson,Harrison Barnes,Draymond Green,-7.969625888791157,2801
2016,Golden State Warriors,Andrew Bogut,Brandon Rush,Stephen Curry,Klay Thompson,Draymond Green,-2.0913143405398955,1091
2016,Houston Rockets,Dwight Howard,Trevor Ariza,Corey Brewer,James Harden,Patrick Beverley,-19.31870687168332,839
2016,LA Clippers,Chris Paul,JJ Redick,DeAndre Jordan,Luc Mbah a Moute,Blake Griffin,0.8986634605175503,1325
2016,Miami Heat,Chris Bosh,Dwyane Wade,Luol Deng,Goran Dragic,Hassan Whiteside,-7.330857141655833,1289
2016,Portland Trail Blazers,Al-Farouq Aminu,Damian Lillard,CJ McCollum,Mason Plumlee,Noah Vonleh,-7.537424995225061,2414
2016,Atlanta Hawks,Kyle Korver,Paul Millsap,Al Horford,Jeff Teague,Kent Bazemore,-2.4631713882795925,4162
