year,team,player_1,player_2,player_3,player_4,player_5,PM_minus_RAPM,Appearances
2022,Washington Wizards,Bradley Beal,Kentavious Caldwell-Pope,Spencer Dinwiddie,Kyle Kuzma,Daniel Gafford,-2.467433942668224,1289
2022,Brooklyn Nets,Kevin Durant,Kyrie Irving,Andre Drummond,Seth Curry,Bruce Brown,-13.955637666027235,819
2022,Memphis Grizzlies,Steven Adams,Jaren Jackson Jr.,Ja Morant,Desmond Bane,Ziaire Williams,-6.935097705381446,832
2022,Detroit Pistons,Cory Joseph,Jerami Grant,Saddiq Bey,Isaiah Stewart,Cade Cunningham,5.720672388747297,1103
2022,Charlotte Hornets,Mason Plumlee,Terry Rozier,Miles Bridges,P.J. Washington,LaMelo Ball,-0.34965097678668045,1403
2022,New Orleans Pelicans,Jonas Valanciunas,Brandon Ingram,Josh Hart,Devonte' Graham,Herbert Jones,1.3737048010186523,1364
2022,Milwaukee Bucks,Jrue Holiday,Khris Middleton,Giannis Antetokounmpo,Bobby Portis,Grayson Allen,-5.968039178403341,1433
2022,Philadelphia 76ers,Danny Green,Tobias Harris,Seth Curry,Joel Embiid,Tyrese Maxey,-0.016093748032316668,1001
2022,Philadelphia 76ers,Tobias Harris,Seth Curry,Joel Embiid,Matisse Thybulle,Tyrese Maxey,-21.64238812825438,975
2022,Oklahoma City Thunder,Shai Gilgeous-Alexander,Darius Bazley,Luguentz Dort,Jeremiah Robinson-Earl,Josh Giddey,-9.866597139202167,1074
2022,Philadelphia 76ers,James Harden,Tobias Harris,Joel Embiid,Matisse Thybulle,Tyrese Maxey,6.051878537488529,1411
2022,Dallas Mavericks,Reggie Bullock,Dwight Powell,Dorian Finney-Smith,Jalen Brunson,Luka Doncic,2.446507709358414,1949
2022,Dallas Mavericks,Reggie Bullock,Dorian Finney-Smith,Maxi Kleber,Jalen Brunson,Luka Doncic,-9.702035274597819,852
2022,Cleveland Cavaliers,Lauri Markkanen,Jarrett Allen,Darius Garland,Isaac Okoro,Evan Mobley,1.769229804022352,903
2022,San Antonio Spurs,Doug McDermott,Dejounte Murray,Jakob Poeltl,Derrick White,Keldon Johnson,-3.8822189016234745,1310
2022,Utah Jazz,Rudy Gay,Mike Conley,Rudy Gobert,Jordan Clarkson,Joe Ingles,2.5604460156178686,916
2022,Golden State Warriors,Stephen Curry,Draymond Green,Andrew Wiggins,Kevon Looney,Jordan Poole,-11.140199090074185,1515
2022,Detroit Pistons,Jerami Grant,Killian Hayes,Saddiq Bey,Isaiah Stewart,Cade Cunningham,-12.001582982047172,1029
2022,Portland Trail Blazers,Damian Lillard,CJ McCollum,Robert Covington,Jusuf Nurkic,Norman Powell,-0.35286121973781737,1149
2022,Orlando Magic,Mo Bamba,Wendell Carter Jr.,Cole Anthony,Franz Wagner,Jalen Suggs,-3.581432718697826,1727
2022,New York Knicks,Kemba Walker,Evan Fournier,Julius Randle,Mitchell Robinson,RJ Barrett,-9.695059536363214,1690
2022,Houston Rockets,Eric Gordon,Christian Wood,Kevin Porter Jr.,Jalen Green,Jae'Sean Tate,5.132351441525222,1461
2022,Memphis Grizzlies,Steven Adams,Tyus Jones,Dillon Brooks,Jaren Jackson Jr.,Desmond Bane,-10.23682718826721,965
