player_id,player
428,Sherman Douglas
201962,Toney Douglas
201604,Chris Douglas-Roberts
1629635,Sekou Doumbouya
76592,Lloyd Dove
202220,Zabian Dowdell
76593,Bill Downey
76594,Steve Downing
1630288,Jeff Dowtin Jr.
76595,Danny Doyle
1628495,Milton Doyle
1628408,PJ Dozier
76596,Terry Dozier
201609,Goran Dragic
204054,Zoran Dragic
1068,Greg Dreiling
1630929,Henri Drell
1724,Bryce Drew
76598,John Drew
76599,Larry Drew
203580,Larry Drew II
17,Clyde Drexler
1041,Nate Driggers
76603,Terry Driscoll
1542,Predrag Drobnjak
76604,Ralph Drollinger
203083,Andre Drummond
76623,Dennis DuVal
1630537,Chris Duarte
1642505,Alex Ducas
76605,Dick Duckett
404,Kevin Duckworth
76607,Charles Dudley
201,Chris Dudley
201162,Jared Dudley
76608,Terry Duerod
76609,Bob Duffy
76610,Bob Duffy
2768,Chris Duhon
1626251,Duje Dukan
1630561,David Duke Jr.
76611,Walter Dukes
247,Joe Dumars
30,Richard Dumas
434,Tony Dumas
76615,Andy Duncan
1495,Tim Duncan
2399,Mike Dunleavy
76616,Mike Dunleavy
1627739,Kris Dunn
76617,Pat Dunn
1642346,Ryan Dunn
76618,T.R. Dunn
2648,Ronald Dupree
201142,Kevin Durant
1631105,Jalen Duren
76619,John Duren
1090,Pat Durham
1642365,Nikola Durisic
76621,Devin Durrant
76622,Ken Durrett
1628979,Trevon Duval
76624,Jack Dwan
76625,Craig Dykema
76626,Gene Dyker
202406,Jerome Dyson
289,Ledell Eackles
76628,Jim Eakins
768,Acie Earl
76630,Ed Earle
203921,Cleanthony Early
1631106,Tari Eason
