Group,APM,Appearances,year,team,MIN,GP,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PTS,PLUS_MINUS,player_1,player_2,player_3,player_4,player_5,player_1_rapm,player_2_rapm,player_3_rapm,player_4_rapm,player_5_rapm,player_rapm_sum,season,player_1_pass_out,player_2_pass_out,player_3_pass_out,player_4_pass_out,player_5_pass_out,std_pass_out
-2210-101107-202324-202330-203504-,4.496288660629898,2279,2014,Utah Jazz,602.6183333333333,47,40.3,87.4,0.461,10.5,26.8,0.393,15.4,19.0,0.811,9.6,34.5,44.1,26.2,13.4,7.1,5.5,20.9,106.6,-0.5,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,-1.1815502506032067,0.2826242276541931,-0.4689318671009719,0.0741983274636852,0.6051910778967282,-0.6884684846895721,2013-14,18.304878048780488,20.393939393939394,27.57534246575343,31.337662337662337,41.65714285714286,9.348509775762267
-200752-201574-202326-202738-203463-,4.212242960192569,1273,2014,Sacramento Kings,316.74,27,41.1,82.4,0.499,5.6,14.6,0.383,16.2,22.4,0.722,8.9,31.6,40.5,22.6,18.1,8.3,5.0,22.7,104.0,-5.6,Rudy Gay,Jason Thompson,DeMarcus Cousins,Isaiah Thomas,Ben McLemore,-0.089014415327491,1.0688789252900743,0.7751668658997461,2.2413582083794834,-1.6704407884033683,2.3259487958384444,2013-14,17.13888888888889,18.061728395061728,24.557142857142857,38.54929577464789,10.37037037037037,10.658998543180218
-2037-101108-201162-201599-201933-,10.79919286070226,1112,2014,LA Clippers,273.465,36,40.3,83.6,0.482,7.9,22.9,0.346,18.1,25.2,0.72,10.4,34.2,44.5,28.7,15.5,8.3,5.1,18.7,106.7,7.7,Jamal Crawford,Chris Paul,Jared Dudley,DeAndre Jordan,Blake Griffin,0.08997977847001,3.684005674085653,0.5138661982991377,0.685824123006682,1.6268887858058152,6.600564559667299,2013-14,17.057971014492754,50.0,12.47945205479452,26.475609756097562,34.3,14.887994950167517
-1717-1890-2223-101145-101181-,8.222262441571788,3592,2014,Dallas Mavericks,844.8716666666667,69,41.8,86.1,0.486,9.2,21.8,0.423,14.4,17.0,0.846,10.5,31.1,41.6,25.8,15.9,8.5,4.6,17.1,107.3,-0.2,Dirk Nowitzki,Shawn Marion,Samuel Dalembert,Monta Ellis,Jose Calderon,1.758542289891797,-0.3785621433820827,0.6370983349615869,-0.0831816972030302,0.1182495025490397,2.052146286817311,2013-14,27.262499999999996,26.868421052631575,13.5,33.3780487804878,48.46913580246914,12.669021361785239
-1713-1890-2223-101145-101181-,7.51966488774785,1059,2014,Dallas Mavericks,257.94666666666666,66,37.1,83.4,0.445,9.0,25.0,0.361,11.7,15.3,0.765,10.4,34.3,44.6,21.7,13.6,7.3,3.6,21.8,94.9,-4.1,Vince Carter,Shawn Marion,Samuel Dalembert,Monta Ellis,Jose Calderon,1.1583162745007691,-0.3785621433820827,0.6370983349615869,-0.0831816972030302,0.1182495025490397,1.4519202714262829,2013-14,14.975308641975309,27.934210526315788,13.325,26.304878048780484,41.8641975308642,11.526517020263046
-101138-201145-202340-202348-203096-,3.2153862452412003,1475,2014,Boston Celtics,372.79833333333335,28,36.0,85.5,0.421,6.9,21.5,0.321,15.7,19.7,0.797,9.8,36.3,46.1,17.5,15.4,4.2,4.4,16.9,94.6,-4.6,Brandon Bass,Jeff Green,Avery Bradley,Jordan Crawford,Jared Sullinger,-1.52349353465535,-0.990209763295338,1.3434512966692382,-0.6350673242930911,1.138407304798561,-0.66691202077598,2013-14,12.975609756097562,15.390243902439025,16.85,19.790123456790123,14.081081081081082,2.651501081164755
-2746-201943-202328-203083-203484-,2.533149568742544,2011,2014,Detroit Pistons,496.0733333333333,39,39.7,91.0,0.436,5.5,17.0,0.326,13.8,21.8,0.633,16.0,33.9,49.9,22.7,15.2,9.2,4.8,17.4,98.8,-4.7,Josh Smith,Brandon Jennings,Greg Monroe,Andre Drummond,Kentavious Caldwell-Pope,-0.085303971652158,0.0422360531733923,0.7074881938838111,-0.4313019207342,0.5628262008002092,0.7959445554710547,2013-14,23.38961038961039,39.275,23.182926829268293,17.320987654320987,9.949367088607595,10.804196151928261
-2746-201155-201943-202328-202713-,5.114542335657498,974,2014,Detroit Pistons,248.55166666666668,56,34.2,83.5,0.41,5.1,15.8,0.321,21.1,30.3,0.696,10.9,31.2,42.1,18.2,12.6,7.1,5.3,20.1,94.5,-7.9,Josh Smith,Rodney Stuckey,Brandon Jennings,Greg Monroe,Kyle Singler,-0.085303971652158,-0.4689415480382665,0.0422360531733923,0.7074881938838111,-0.6429227325964247,-0.4474440052296458,2013-14,24.766233766233764,14.602739726027396,45.65,25.402439024390247,17.48780487804878,12.139630260076629
-101161-200752-200768-201942-202685-,0.224232640888108,907,2014,Toronto Raptors,243.55333333333334,18,39.0,88.9,0.439,6.3,17.6,0.358,14.3,16.5,0.868,14.8,28.6,43.4,20.8,18.2,8.7,4.1,22.6,98.7,-9.3,Amir Johnson,Rudy Gay,Kyle Lowry,DeMar DeRozan,Jonas Valanciunas,0.8057851652151409,-0.089014415327491,2.090052839075219,0.7299580217434744,-0.549724994092989,2.9870566166133545,2013-14,27.35526315789474,6.208333333333333,41.61538461538461,20.705128205128208,23.9,12.737344966389372
-2746-201943-202328-202713-203083-,0.5700169464180099,1800,2014,Detroit Pistons,460.75666666666666,42,41.2,93.5,0.441,7.6,21.7,0.35,12.9,19.2,0.672,15.7,33.3,48.9,24.7,14.6,7.3,4.9,17.9,102.9,-9.2,Josh Smith,Brandon Jennings,Greg Monroe,Kyle Singler,Andre Drummond,-0.085303971652158,0.0422360531733923,0.7074881938838111,-0.6429227325964247,-0.4313019207342,-0.4098043779255793,2013-14,23.636363636363637,41.574999999999996,23.646341463414636,15.21951219512195,17.123456790123456,10.407130004505085
-201150-201152-202323-202341-203487-,0.9851761774261022,2447,2014,Philadelphia 76ers,611.8966666666666,37,37.3,83.8,0.444,7.0,22.1,0.317,14.9,20.5,0.726,9.8,32.9,42.6,23.7,17.2,8.1,3.1,18.2,96.4,-10.6,Spencer Hawes,Thaddeus Young,Evan Turner,James Anderson,Michael Carter-Williams,-0.4720363053829877,-1.1598302206611608,-0.7560081406706006,-1.7392138477509609,0.9301606101905998,-3.19692790427511,2013-14,26.025,31.58227848101266,18.19753086419753,13.712500000000002,41.471428571428575,10.979449216741063
-2730-201935-202391-202718-203093-,11.117316620508772,1370,2014,Houston Rockets,327.99666666666667,32,40.0,77.8,0.514,7.1,19.9,0.358,24.6,35.0,0.701,10.0,35.2,45.2,23.0,16.3,7.3,7.3,15.8,111.6,5.1,Dwight Howard,James Harden,Jeremy Lin,Chandler Parsons,Terrence Jones,1.4108994473108571,2.622493846839349,0.1497754333788389,0.9353588948971036,-1.1309738937877374,3.987553728638411,2013-14,26.070422535211264,29.71232876712329,26.661971830985912,27.216216216216218,18.394736842105264,4.265784848206841
-2736-101127-201150-202681-202684-,10.2649024551224,925,2014,Cleveland Cavaliers,240.58833333333334,13,40.5,88.5,0.457,8.4,21.4,0.392,17.6,22.0,0.8,12.4,37.1,49.5,24.9,13.8,5.9,4.0,13.6,106.9,2.3,Luol Deng,Jarrett Jack,Spencer Hawes,Kyrie Irving,Tristan Thompson,1.4082136168949158,-1.7024576021195867,-0.4720363053829877,-0.9183693958840772,-0.5914929185176585,-2.2761426050093942,2013-14,13.61904761904762,17.2625,11.8625,26.309859154929576,27.768292682926827,7.289896712099299
-1495-2225-201168-201980-202695-,14.141429846572173,1702,2014,San Antonio Spurs,262.28333333333336,30,41.3,87.3,0.473,5.7,14.3,0.4,13.1,16.0,0.821,8.7,40.7,49.4,24.9,13.7,8.0,7.4,10.6,101.3,13.7,Tim Duncan,Tony Parker,Tiago Splitter,Danny Green,Kawhi Leonard,0.9477598640999554,0.2776111384549448,0.9520603144271244,2.155118602868099,2.640178464239409,6.972728384089532,2013-14,25.95945945945946,32.11764705882353,15.11864406779661,14.117647058823529,17.15151515151515,7.824784594937804
-1495-1938-2225-2564-202695-,14.813640953402423,1253,2014,San Antonio Spurs,192.545,42,41.1,81.2,0.506,7.0,18.3,0.384,20.8,26.6,0.783,7.8,32.1,39.8,25.3,11.5,5.8,5.5,18.8,110.0,8.0,Tim Duncan,Manu Ginobili,Tony Parker,Boris Diaw,Kawhi Leonard,0.9477598640999554,3.915617949132811,0.2776111384549448,0.7672353653665083,2.640178464239409,8.548402781293628,2013-14,26.770270270270274,15.132352941176471,35.61764705882353,18.32911392405063,17.909090909090907,8.40752759059947
-200752-201574-201977-202326-202738-,13.102198962001252,891,2014,Sacramento Kings,228.50166666666667,19,41.6,86.1,0.483,6.6,17.8,0.37,19.4,26.4,0.733,15.0,34.8,49.8,22.9,18.5,8.4,5.9,20.5,109.3,13.0,Rudy Gay,Jason Thompson,Marcus Thornton,DeMarcus Cousins,Isaiah Thomas,-0.089014415327491,1.0688789252900743,0.1031310543472021,0.7751668658997461,2.2413582083794834,4.099520638589015,2013-14,16.208333333333332,17.39506172839506,6.971830985915492,22.242857142857147,37.0,11.010442960976691
-101112-101123-200782-201609-203101-,6.150510603183139,2088,2014,Phoenix Suns,526.0983333333334,46,43.5,86.6,0.502,12.0,27.5,0.435,12.5,17.3,0.723,10.1,31.4,41.4,21.0,15.8,8.0,5.5,21.8,111.5,0.6,Channing Frye,Gerald Green,P.J. Tucker,Goran Dragic,Miles Plumlee,2.3499101842287184,-0.7650852010059832,-0.1380381280239576,2.657020396393853,-0.9073444967194296,3.196462754873201,2013-14,23.0609756097561,12.036585365853659,18.382716049382715,35.184210526315795,17.625,8.71335892855977
-1717-1890-101145-101181-201971-,7.449464482111283,961,2014,Dallas Mavericks,229.13166666666666,49,44.9,87.3,0.514,7.5,17.7,0.424,13.4,16.7,0.8,8.6,30.3,38.8,29.9,11.9,7.7,4.0,16.5,110.6,-0.2,Dirk Nowitzki,Shawn Marion,Monta Ellis,Jose Calderon,DeJuan Blair,1.758542289891797,-0.3785621433820827,-0.0831816972030302,0.1182495025490397,-0.0411009709749139,1.37394698088081,2013-14,27.0125,26.039473684210524,32.84146341463415,47.5679012345679,7.705128205128204,14.341992877030057
-2440-101108-201599-201933-201954-,13.944808762773928,1318,2014,LA Clippers,325.68333333333334,28,44.3,84.6,0.523,7.9,19.4,0.409,20.9,28.5,0.733,10.8,32.8,43.7,27.0,14.0,10.2,5.8,18.2,117.4,14.7,Matt Barnes,Chris Paul,DeAndre Jordan,Blake Griffin,Darren Collison,1.5813732313561404,3.684005674085653,0.685824123006682,1.6268887858058152,-0.1165598708501408,7.46153194340415,2013-14,22.41269841269841,46.04838709677419,30.426829268292682,37.8625,18.4375,11.24085714659449
-2037-2440-101108-201599-201933-,18.09010550056754,1230,2014,LA Clippers,271.49666666666667,28,41.2,80.6,0.511,8.6,22.4,0.383,25.0,34.9,0.719,9.5,34.9,44.3,27.3,12.3,11.7,5.8,18.6,115.9,19.4,Jamal Crawford,Matt Barnes,Chris Paul,DeAndre Jordan,Blake Griffin,0.08997977847001,1.5813732313561404,3.684005674085653,0.685824123006682,1.6268887858058152,7.668071592724301,2013-14,16.782608695652172,19.269841269841272,49.38709677419355,26.499999999999996,35.35,13.276844968057441
-2748-201577-201587-202083-203081-,4.654323689560924,868,2014,Portland Trail Blazers,212.69166666666666,15,37.8,86.2,0.439,12.0,33.6,0.356,20.0,23.5,0.853,12.4,35.3,47.7,23.5,15.9,4.8,5.1,13.6,107.6,5.5,Dorell Wright,Robin Lopez,Nicolas Batum,Wesley Matthews,Damian Lillard,-0.209216735555265,0.5979811987991284,0.5786121607259163,0.6775477696723784,1.4028609874225677,3.0477853810647257,2013-14,7.264705882352941,17.865853658536587,32.073170731707314,17.865853658536587,39.292682926829265,12.728030107294646
-2203-2544-2547-2548-201596-,11.53415926810683,1998,2014,Miami Heat,429.67333333333335,35,43.3,81.1,0.534,7.2,20.3,0.354,17.1,21.8,0.782,6.6,30.1,36.7,28.1,15.6,11.5,4.6,17.4,110.9,5.7,Shane Battier,LeBron James,Chris Bosh,Dwyane Wade,Mario Chalmers,0.5910943217547631,2.304162104915707,2.573892623521325,-0.6375665411940133,0.8486702563913003,5.680252765389082,2013-14,16.9041095890411,29.818181818181817,24.481012658227847,23.75925925925926,38.46575342465754,8.026305402769541
