Group,APM,Group_Appearances,year,team,MIN,GP,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PTS,PLUS_MINUS,player_1,player_2,player_3,player_4,player_5,player_1_rapm,player_2_rapm,player_3_rapm,player_4_rapm,player_5_rapm,player_rapm_sum
-2746-201943-202328-202713-203083-,0.570016946,1800,2014,Detroit Pistons,460.7566667,42,41.2,93.5,0.441,7.6,21.7,0.35,12.9,19.2,0.672,15.7,33.3,48.9,24.7,14.6,7.3,4.9,17.9,102.9,-9.2,Josh Smith,Brandon Jennings,Greg Monroe,Kyle Singler,Andre Drummond,-0.085303972,0.042236053,0.707488194,-0.642922733,-0.431301921,-0.409804378
-201150-201152-202323-202341-203487-,0.985176177,2447,2014,Philadelphia 76ers,611.8966667,37,37.3,83.8,0.444,7,22.1,0.317,14.9,20.5,0.726,9.8,32.9,42.6,23.7,17.2,8.1,3.1,18.2,96.4,-10.6,Spencer Hawes,Thaddeus Young,Evan Turner,James Anderson,Michael Carter-Williams,-0.472036305,-1.159830221,-0.756008141,-1.739213848,0.93016061,-3.196927904
-2730-201935-202391-202718-203093-,11.11731662,1370,2014,Houston Rockets,327.9966667,32,40,77.8,0.514,7.1,19.9,0.358,24.6,35,0.701,10,35.2,45.2,23,16.3,7.3,7.3,15.8,111.6,5.1,Dwight Howard,James Harden,Jeremy Lin,Chandler Parsons,Terrence Jones,1.410899447,2.622493847,0.149775433,0.935358895,-1.130973894,3.987553729
-2736-101127-201150-202681-202684-,10.26490246,925,2014,Cleveland Cavaliers,240.5883333,13,40.5,88.5,0.457,8.4,21.4,0.392,17.6,22,0.8,12.4,37.1,49.5,24.9,13.8,5.9,4,13.6,106.9,2.3,Luol Deng,Jarrett Jack,Spencer Hawes,Kyrie Irving,Tristan Thompson,1.408213617,-1.702457602,-0.472036305,-0.918369396,-0.591492919,-2.276142605
-1495-2225-201168-201980-202695-,14.14142985,1702,2014,San Antonio Spurs,262.2833333,30,41.3,87.3,0.473,5.7,14.3,0.4,13.1,16,0.821,8.7,40.7,49.4,24.9,13.7,8,7.4,10.6,101.3,13.7,Tim Duncan,Tony Parker,Tiago Splitter,Danny Green,Kawhi Leonard,0.947759864,0.277611138,0.952060314,2.155118603,2.640178464,6.972728384
-1495-1938-2225-2564-202695-,14.81364095,1253,2014,San Antonio Spurs,192.545,42,41.1,81.2,0.506,7,18.3,0.384,20.8,26.6,0.783,7.8,32.1,39.8,25.3,11.5,5.8,5.5,18.8,110,8,Tim Duncan,Manu Ginobili,Tony Parker,Boris Diaw,Kawhi Leonard,0.947759864,3.915617949,0.277611138,0.767235365,2.640178464,8.548402781
-200752-201574-201977-202326-202738-,13.10219896,891,2014,Sacramento Kings,228.5016667,19,41.6,86.1,0.483,6.6,17.8,0.37,19.4,26.4,0.733,15,34.8,49.8,22.9,18.5,8.4,5.9,20.5,109.3,13,Rudy Gay,Jason Thompson,Marcus Thornton,DeMarcus Cousins,Isaiah Thomas,-0.089014415,1.068878925,0.103131054,0.775166866,2.241358208,4.099520639
-101112-101123-200782-201609-203101-,6.150510603,2088,2014,Phoenix Suns,526.0983333,46,43.5,86.6,0.502,12,27.5,0.435,12.5,17.3,0.723,10.1,31.4,41.4,21,15.8,8,5.5,21.8,111.5,0.6,Channing Frye,Gerald Green,P.J. Tucker,Goran Dragic,Miles Plumlee,2.349910184,-0.765085201,-0.138038128,2.657020396,-0.907344497,3.196462755
-1717-1890-101145-101181-201971-,7.449464482,961,2014,Dallas Mavericks,229.1316667,49,44.9,87.3,0.514,7.5,17.7,0.424,13.4,16.7,0.8,8.6,30.3,38.8,29.9,11.9,7.7,4,16.5,110.6,-0.2,Dirk Nowitzki,Shawn Marion,Monta Ellis,Jose Calderon,DeJuan Blair,1.75854229,-0.378562143,-0.083181697,0.118249503,-0.041100971,1.373946981
-2440-101108-201599-201933-201954-,13.94480876,1318,2014,LA Clippers,325.6833333,28,44.3,84.6,0.523,7.9,19.4,0.409,20.9,28.5,0.733,10.8,32.8,43.7,27,14,10.2,5.8,18.2,117.4,14.7,Matt Barnes,Chris Paul,DeAndre Jordan,Blake Griffin,Darren Collison,1.581373231,3.684005674,0.685824123,1.626888786,-0.116559871,7.461531943
